"2022-11-20T18:49:00.000Z"||,|| "🧐🧐 I'm voting for #OneDirection (@onedirection) “Story of My Life" (2013) for #AMAsFanFavorite        at the #AMAs   I'm voting for #OneDirection (@onedirection) “Story of My Life" (2013) for #AMAsFanFavorite        at the #AMAs" 
"2022-11-20T18:49:00.000Z"||,|| "@piersmorgan I mean Qatar does deserve some disrespect, they have killed people to build these stadiums…. But yeh footballs definitely more important. I used to think you were a good broadcaster but now I don’t know whether to call you out or check you’re ok." 
"2022-11-20T18:49:00.000Z"||,|| "Every night, I was read to. Every Friday  https://t.co/xZM7kzBR4K" 
"2022-11-20T18:49:00.000Z"||,|| "@neilstone261 @jeffery4free @neilstone36 @theworldhasgo19 @mraleuphemism @ErichKays @tylerkingkade Thanks for admitting directly that you want govt to teach kids sex." 
"2022-11-20T18:49:00.000Z"||,|| "@Claytus_M @DanielRegha @instablog9ja 🇳🇬FREE HUSHPUPPi🇳🇬Music Video🇳🇬OUT NOW🇳🇬On Youtube🇳🇬 By STYLERViP #hushpuppi #stylervip #freehushpuppi https://t.co/zx7OsKKaSR" 
"2022-11-20T18:49:00.000Z"||,|| "Almost three months after part of a foot in a shoe was found floating in a Yellowstone National Park hot spring, the victim has been identified through DNA analysis.  https://t.co/NtoXSSXRxB" 
"2022-11-20T18:49:00.000Z"||,|| "RT @HasanMisbah12: @Lockupp3 When I let go of what I am, I become what I might be GET WELL SOON AMJAD GET WELL SOON KHANBHAI #Munjali htt…" 
"2022-11-20T18:49:00.000Z"||,|| "RT @KyivIndependent: ⚡️Times: Britain imports Russian oil worth over $230 million via legal loophole. Since the beginning of the full-scal…" 
"2022-11-20T18:49:00.000Z"||,|| "RT @fakedansavage: And we're going to keep fighting. Because if we're not safe behind the closed doors of a gay bar — if they can't let us…" 
"2022-11-20T18:49:00.000Z"||,|| "@kerry_jowitt Sending BIG HUGS xx" 
"2022-11-20T18:49:00.000Z"||,|| "I fear there will never be truly enough protection for the LGBTQ community! Hatred continues to spread like a virus and innocent lives continue to be lost! Sending condolences, prayers, and love to those who lost loved ones in the Colorado Springs shooting!" 
"2022-11-20T18:49:00.000Z"||,|| "what did you get? @Crypto_Dorky @MrPanguins @twtthiru @veJoshM @BellaFinexbox @daienzhi @Hakan_MEXC @dank_node @maria_defiyield @g6spot @jlh1416 https://t.co/je01iXPu8f" 
"2022-11-20T18:49:01.000Z"||,|| "@mrseagan1 Where did the team from the beginning do the season go?" 
"2022-11-20T18:49:00.000Z"||,|| "IF YOU WANT TO ̖DRIVE A LOT OF TRAFFIC TO YOUR YOUTUBE CHANNEL,  🙏 @VECHRISTEN1 @saint_justice @natesolon @emiliasbabe @itsmezaind @KitBowie LOOK AT THIS OUTSTANDING SERVICE🚀 https://t.co/D06Ej9iFbK https://t.co/ADqNLZOZcI" 
"2022-11-20T18:49:01.000Z"||,|| "I have often regretted my speech, never my silence." 
"2022-11-20T18:49:01.000Z"||,|| "@Weedwonder1 @0xBryant @EQLZeth For DenseDAO holders only" 
"2022-11-20T18:49:01.000Z"||,|| "His voice in this song is so healing i feel like sobbing every time" 
"2022-11-20T18:49:01.000Z"||,|| "RT @dreamxjosh: how you want it 😩 ? https://t.co/qdqAzmVWWt" 
"2022-11-20T18:49:01.000Z"||,|| "RT @arcaneshow: Thank you for being part of an unforgettable journey. #ArcaneAnniversary https://t.co/3Eb6lEw0Fn" 
"2022-11-20T18:49:01.000Z"||,|| "@Liz_Wheeler @realDonaldTrump If you're happy that Space Karen reinstated Trump then you're probably a dumb Nazi" 
"2022-11-20T18:49:01.000Z"||,|| "RT @johnpavlovitz: @laurenboebert How do you type with so much blood on your hands?" 
